x,y,z,t,mu,alpha
-114.8624,266.9092,325.3620,308.0000,-0.0005,10.1674
-121.0232,260.4004,323.8662,309.0000,-0.0003,10.1674
-128.0214,253.0070,322.9467,310.0000,-0.0001,10.1674
-134.8062,245.8389,323.7337,311.0000,-0.0001,10.1674
-140.7863,239.5210,324.2342,312.0000,-0.0000,10.1674
-146.8002,233.1673,323.1171,313.0000,-0.0000,10.1674
-153.5956,225.9881,321.8979,314.0000,-0.0000,10.1674
-160.5182,218.6744,322.2616,315.0000,-0.0000,10.1674
-166.7049,212.1382,322.9689,316.0000,-0.0000,10.1674
-172.6583,205.8485,322.2801,317.0000,-0.0000,10.1674
-179.2373,198.8979,320.9544,318.0000,-0.0000,10.1674
-186.1995,191.5424,320.8677,319.0000,-0.0000,10.1674
-192.5987,184.7817,321.6023,320.0000,-0.0000,10.1674
-198.5701,178.4729,321.3235,321.0000,-0.0000,10.1674
-204.9555,171.7268,320.0630,322.0000,-0.0000,10.1674
-211.8705,164.4212,319.5741,323.0000,-0.0000,10.1674
-218.4567,157.4629,320.1805,324.0000,-0.0000,10.1674
-224.5093,151.0684,320.2402,325.0000,-0.0000,10.1674
-230.7479,144.4774,319.1737,326.0000,-0.0000,10.1674
-237.5533,137.2875,318.3846,327.0000,-0.0000,10.1674
-244.2765,130.1845,318.7509,328.0000,-0.0000,10.1674
-250.4534,123.6587,319.0422,329.0000,-0.0000,10.1674
-256.6032,117.1615,318.2465,330.0000,-0.0000,10.1674
-263.2668,110.1214,317.2855,331.0000,-0.0000,10.1674
-270.0637,102.9406,317.3546,332.0000,-0.0000,10.1674
-276.3850,96.2622,317.7547,333.0000,-0.0000,10.1674
-282.5052,89.7962,317.2541,334.0000,-0.0000,10.1674
-289.0234,82.9098,316.2509,335.0000,-0.0000,10.1674
-295.8299,75.7189,316.0201,336.0000,-0.0000,10.1674
-302.2927,68.8909,316.4100,337.0000,-0.0000,10.1674
-308.4359,62.4006,316.1830,338.0000,-0.0000,10.1674
-314.8277,55.6478,315.2486,339.0000,-0.0000,10.1674
-321.5898,48.5038,314.7612,340.0000,-0.0000,10.1674
-328.1711,41.5506,315.0423,341.0000,-0.0000,10.1674
-334.3784,34.9927,315.0324,342.0000,-0.0000,10.1674
-340.6774,28.3379,314.2471,343.0000,-0.0000,10.1674
-347.3582,21.2797,313.5772,344.0000,0.0000,10.1674
-354.0210,14.2405,313.6830,345.0000,0.0000,10.1674
-360.3181,7.5876,313.8124,346.0000,-0.0000,10.1674
-366.5647,0.9881,313.2202,347.0000,-0.0000,10.1674
-369.5395,-7.9602,311.6366,348.0000,-45.0000,11.6694
-363.8700,-17.0095,310.4171,349.0000,-39.0192,11.2085
-354.2696,-21.3289,311.7861,350.0000,-15.2129,10.2991
-346.0852,-22.8999,313.3097,351.0000,-8.2446,10.2052
-338.1907,-23.5860,311.9943,352.0000,-4.3537,10.1779
-328.3848,-23.8526,309.6925,353.0000,-2.4207,10.1706
-317.6307,-23.7765,310.0544,354.0000,-0.9744,10.1679
-308.6925,-23.5816,311.7468,355.0000,-0.4825,10.1675
-300.7699,-23.3591,311.2449,356.0000,-0.2479,10.1674
-291.5416,-23.0697,308.9942,357.0000,-0.1401,10.1674
-280.8473,-22.7132,308.5158,358.0000,-0.0631,10.1674
-271.3312,-22.3871,310.0650,359.0000,-0.0278,10.1674
-263.2241,-22.1062,310.2717,360.0000,-0.0145,10.1674
-254.4397,-21.8002,308.3533,361.0000,-0.0081,10.1674
-244.0196,-21.4360,307.2171,362.0000,-0.0041,10.1674
-234.0411,-21.0867,308.3635,363.0000,-0.0016,10.1674
-225.6144,-20.7915,309.0916,364.0000,-0.0008,10.1674
-217.1084,-20.4934,307.6788,365.0000,-0.0005,10.1674
-207.0838,-20.1421,306.1384,366.0000,-0.0002,10.1674
-196.8203,-19.7823,306.7262,367.0000,-0.0001,10.1674
-187.9954,-19.4730,307.7457,368.0000,-0.0001,10.1674
-179.6018,-19.1788,306.9078,369.0000,-0.0000,10.1674
-169.9990,-18.8421,305.2295,370.0000,-0.0000,10.1674
-159.6473,-18.4792,305.2196,371.0000,-0.0000,10.1674
-150.4073,-18.1553,306.2937,372.0000,-0.0000,10.1674
-141.9777,-17.8598,306.0102,373.0000,-0.0000,10.1674
